artist_name,playlist,active,ignore,category,priority
...And You Will Know Us By The Trail Of Dead,Album added to library,,,,1
10cc,,,TRUE,,
9 Lazy 9,,,,,
????,Album added to library,,true,,
A Beacon School,,,,,
A Forest Mighty Black,,,,,
A Tribe Called Quest,,FALSE,TRUE,,
A. Savage,Album added to library,,,,1
Acid King,,,,,2
Adrian Belew,,,,,2
Agitation Free,Album added to library,FALSE,TRUE,,2
AHAB,metall,,,,2
Aiden Ayers,Album added to library,,,,2
Air,Album added to library,,,,2
Ajukaja,bestEST,,,,est
Alex Cortiz,,,,,
Alex G,Pehmemad indiaanlased,,,,2
Alfa Collective,Album added to library,,,,est
Algebra Suicide,Liked song,FALSE,TRUE,,2
Alice Cooper,Album added to library,,,,2
Alice In Chains,Album added to library,,,,2
Allah-Las,,,,,
Allianss,Album added to library,,,,est
alt-J,Liked song,,,,2
Amon Tobin,tasasem teknohõng,,,DJ,
Ananda Shankar,Liked song,FALSE,TRUE,,2
Andy Shauf,Liked song,,,,2
Angel Olsen,,,,,
Anika,Liked song,,,,2
Animal Collective,Liked song,,,,2
Ans Andur,bestEST,,,,est
Ans. Andur,bestEST,,,,est
Antipop Consortium,,FALSE,TRUE,,
Antonio Tensuro,bestEST,,,,est
ANTS1,bestEST,,,,est
Aphex Twin,tasasem teknohõng,,,DJ,1
Aphrodite,electro,,TRUE,DJ,
Arabs In Aspic,,,,,2
Archy Marshall,Album added to library,,,,1
Argo Vals,Album added to library; bestEST,,,,est
Ariel Pink,Liked song,,,,2
Ariel Pink's Haunted Graffiti,,,TRUE,,
Arp,tasasem teknohõng,,,DJ,
Ash Code,punk / new wave,,,,
Aspid (Аспид),,,,,
Astrid Sonne,Liked song,,,,2
Audio Armada,Album added to library,,,,2
Audioslave,,FALSE,TRUE,,
Aunt Sally,Liked song,FALSE,TRUE,,2
Autechre,tasasem teknohõng,,,DJ,
Autolux,Album added to library,,,,2
Avemaria,bestEST,,,,est
Avith Ortega,tasasem teknohõng,,,DJ,
Azizi Gibson,räps,,,,
Baby Mammoth,,,,,
Bad Company UK,electro,,TRUE,DJ,
BADBADNOTGOOD,Album added to library; electro,,,DJ,2
BADBADNOTGOOD & Ghostface Killah,räps,,TRUE,,
Bambara,Liked song,,,,2
Bass Drum of Death,post punkish,,,,2
Bastardane,metall,,,,
Beach Fossils,,,,,
Beach House,,,,,2
Beak>,post punkish,,,,2
Beanfield,,,,,
Beardfish,,,,,1
Beastie Boys,Album added to library,FALSE,TRUE,,2
Beck,Liked song,,,,2
Bees Made Honey in the Vein Tree,Album added to library,,,,2
Being Dead,Album added to library,,,,1
Belako,post punkish,,,,2
BENT,,,,,
Beth Gibbons,Liked song,,,,2
Billy Woods,,,,,
billy woods & Kenny Segal,räps,,,,
Biosphere,tasasem teknohõng,,,DJ,
BJORN TORSKE,tasasem teknohõng,,,DJ,
Björk,,,,,
"Black Country, New Road",Album added to library,,TRUE,,2
black midi,Liked song,FALSE,TRUE,,2
Black Moon,räps,FALSE,TRUE,,
Black Rebel Motorcycle Club,,,,,
Bloodslide,post punkish,,,,2
Blue Note,,,,,
Blue Oyster Cult,Album added to library,,,,2
Blue States,,,,,
Boards of Canada,tasasem teknohõng,,,DJ,1
Bobby Hebb,,FALSE,TRUE,,
BODEGA,Album added to library,,,,2
Body Count,metall,,,,2
Boko Yout,Album added to library,,,,2
Bonobo,,,,,
Boogie Times Tribe,tasasem teknohõng,,,DJ,
Boozoo Bajou,,,,,
Borm Bubu,Album added to library,,,,est
Bowery Electric,Album added to library,FALSE,TRUE,,2
Boy Azooga,Liked song,,,,2
Brahja,Liked song,,,,2
Brand X,Album added to library,,,,2
Brian Eno,Album added to library,,,,2
"Brian Eno, Jon Hopkins & Leo Abrahams",tasasem teknohõng,,TRUE,DJ,
"Brian Eno, Moebius, Roedelius & Cluster",tasasem teknohõng,,TRUE,DJ,
Brian Jonestown Massacre,Liked song,,,,2
Bright Falls,post punkish,,,,2
Bright Falls feat. Прекрасная Зелёная,,,TRUE,,
Broncho,,,,,
Buke & Gase,Album added to library,,,,2
Bullitnuts,,FALSE,TRUE,,
Burning Witch,Album added to library,FALSE,TRUE,,2
Burzum,metall,,,,
BUSDRIVER,räps,,,,
Bush Tetras,,,,,
Buzhold,Album added to library,,,,est
Buzzcocks,punk / new wave,,,,
Buzzov*en,,,,,
Cage The Elephant,,,,,
Calyx,electro,,TRUE,DJ,
Camel,Album added to library,,,,2
CAN,Album added to library,FALSE,TRUE,,2
Candlemass,Album added to library,,,,2
Candy Claws,Liked song,,,,2
Cannibal Corpse,prügi,,,,
Cannibal Ox,räps,,,,
Car Seat Headrest,Album added to library,,,,1
Caravan,,,,,
Caribou,Liked song,,,,2
Caroline Rose,Liked song,,,,2
Casino Versus Japan,tasasem teknohõng,,,DJ,
Cate Le Bon,Album added to library,,,,2
Celtic Frost,,FALSE,TRUE,,
Chastity Belt,post punkish,,,,1
Chat Pile,metall,,,,
Cherry Glazerr,post punkish,,,,2
Chicago,Album added to library,,,,2
Chico Bernardes,Liked song,,,,2
Chris Cohen,Pehmemad indiaanlased,,,,
Church Of Misery,metall,,,,
Class Of 73 Bells,,,,,
clockworkarmy,punk / new wave,,,,
cLOUDDEAD,Album added to library,FALSE,TRUE,,2
Cluster,Album added to library,FALSE,TRUE,,2
Clutch,metall,,,,
Coil,tasasem teknohõng,FALSE,TRUE,DJ,
Coldcut,tasasem teknohõng,,,DJ,
Colin Stetson,,,,,
Colleen Green,new rock,,,,
Connan and the Mockasins,,FALSE,TRUE,,
Connan Mockasin,nikumuss,,,,2
Cool Hand Flex,electro,,TRUE,DJ,
Corazón Attack,Liked song,,,,2
Cosmo Pyke,,,,,
Courtney Barnett,post punkish,,,,2
Cream,Album added to library,FALSE,TRUE,,2
Crowbar,,,,,
Crumb,Album added to library,,,,2
Crystal Waters,electro,,TRUE,DJ,
cumgirl8,post punkish,,,,2
Cypress Hill,räps,,,,
Czarface,räps,,,,
Dado Topić,,,,,
Damaged Bug,Album added to library,,,,1
Dan the Automator,,,,,
Danger Mouse,Album added to library,,,,2
Danger Mouse & Black Thought,räps,,,,
DANGERDOOM,,FALSE,TRUE,,
"DANGERDOOM, MF DOOM & Danger Mouse",räps,,TRUE,,
Daniele Luppi,Liked collaborator,,,,
Danny Brown,räps,,,,
DARKSIDE,Liked song,,,,1
David Bowie,,FALSE,TRUE,,
David Byrne,Liked song,,,,2
David Dean Burkhart,Pehmemad indiaanlased,,,,
De Ambassade,Liked song,,,,2
Dead Can Dance,Album added to library,,,,2
Dead Meadow,,,,,
dead prez,räps,,,,
Dean Blunt,Album added to library,,,,1
Dean Blunt & Inga Copeland,tasasem teknohõng,,,DJ,1
Death,prügi,,,,
Death Grips,räps,,,,
Death in Vegas,Album added to library,,,,2
Decapitated,prügi,,,,
Deceptikon,,,,,
Deerhoof,Album added to library,,,,2
Deerhunter,Album added to library,,,,1
Deftones,metall,,,,
Del The Funkee Homosapien,räps,,,,
Deltron 3030,räps,,,,
Dengue Dengue Dengue,Album added to library,,,,2
Destroyer,,,,,
Destruction Unit,Liked song,,,,2
Dew8,Album added to library,,,,2
Digital,,,TRUE,,
Digitalism,electro,,,DJ,
DIIV,,,,,
Dillinja,electro,,TRUE,DJ,
Dimlite,Album added to library; electro,,,DJ,2
Diverse,,,,,
Dizlerim Küpsis,tasasem teknohõng,,,DJ,
DJ Food,tasasem teknohõng,,,DJ,
DJ Me DJ You,Liked song,,,,2
DJ Trace,electro,,TRUE,DJ,
DJ Zinc,electro,,TRUE,DJ,
Do Nothing,Album added to library,,,,2
Doechii,räps,,,,
Dom & Roland,electro,,TRUE,DJ,
Donna Summer,,FALSE,TRUE,,
Down,Album added to library,,,,2
Drahla,post punkish,,,,2
Dream Wife,post punkish,,,,2
Dregs,tasasem teknohõng,,,DJ,2
Dry Cleaning,Album added to library,,,,1
Ducktails,Album added to library,,,,2
Dzihan & Kamien,,,,,
Eagulls,post punkish,FALSE,TRUE,,2
Earl Sweatshirt,räps,,,,
Earth,Album added to library,,,,2
Echo & The Bunnymen,punk / new wave,,,,
Echolyn,,,,,
Ed O'Brien,Album added to library,,,,2
Ed Rush,,,,,
ednbo,tasasem teknohõng,,,DJ,
Edo de Waart,,,,,
Elbow,Album added to library,,,,2
Electric Light Orchestra,,FALSE,TRUE,,
Elephant9,Album added to library,,,,2
Elephants From Neptune,Album added to library,,,,est
Emapea,,,,,
Enforced,Album added to library,,,,2
Enfuse,electro,,TRUE,DJ,
Eraldo Bernocchi,Album added to library,,,,2
Eraldo Bernocchi & Harold Budd,tasasem teknohõng,,TRUE,DJ,
eric haywood,räps,,,,
Euternase,Album added to library,,,,2
exhalants,Liked song,,,,2
Exploded View,Liked song,,,,2
Eye Of The Beholder,,,,,
Ezra Furman,,,,,
Farmers Market,balkan,,,,2
Fashion Pimps And The Glamazons,post punkish,,,,2
Faust,Liked song,,,,2
FC Kahuna,,FALSE,TRUE,,
Felt,punk / new wave,FALSE,TRUE,,
Fever Ray,Liked song,,,,2
Fila Brazillia,Pehmemad indiaanlased,FALSE,TRUE,,
Flasher,post punkish,,,,2
Fleetwood Mac,Album added to library,FALSE,TRUE,,2
Flesh Simulator,electro,,TRUE,DJ,
Flipper,post punkish,,,,2
Flyying Colours,Liked song,,,,2
Fontaines D.C.,post punkish,,,,1
Found Atlantis,,,,,
Four Tet,Album added to library,,,,2
Foxwarren,Album added to library,,,,2
Foxygen,,,,,
Frank Zappa,Album added to library,FALSE,TRUE,,2
Freak Heat Waves,Album added to library,,,,1
Fugazi,,FALSE,TRUE,,
Fulci,Album added to library,,,,2
Funki Porcini,Album added to library,,,,2
FUSION II,,,,,
Future Cut,electro,,TRUE,DJ,
Fuzz,Liked song,,,,2
Gang Starr,räps,FALSE,TRUE,,
Ganser,Album added to library,,,,2
Garbanotas,Album added to library,,,,2
Gary Numan,Album added to library,,,,2
Gawd Status,,,,,
"Gawd Status, King Kashmere, Joker Starr, and Jazz T",räps,,TRUE,,
Geese,Album added to library,,,,2
Genesis,,FALSE,TRUE,,
Genialistid,bestEST,FALSE,TRUE,,est
Genka,räps,,,,
Geordie Greep,Liked song,,,,2
Getšemane,Album added to library,,,,2
Gideon Smith & The Dixie Damned,,,,,
Gilla Band,Liked song,,,,2
Gin Lady,,,,,
Gina X Performance,punk / new wave,,,,
Girlpool,post punkish,FALSE,TRUE,,2
Goat Girl,Album added to library,,,,2
GOGDOG,bestEST,,,,est
GOGDOG x OUMEEN,Album added to library; bestEST,,,DJ,est
GoGo Penguin,Album added to library,,,,2
Gojira,metall,,,,
Goldfrapp,Album added to library,,,,2
Good Sad Happy Bad,Album added to library,,,,2
Gorillaz,Album added to library,,,,2
Graham Coxon,post punkish,,,,2
Grauzone,punk / new wave,FALSE,TRUE,,
Gray,,,,,
Green and Glass,Album added to library,,,,2
Green Yeti,Album added to library,,,,2
Groove Armada,,,TRUE,,
Group Rhoda,Liked song,,,,2
GROUPA,,,,,
Guaxe,Liked song,,,,2
GUM,,,,,
Gun Outfit,,,,,
GZA,räps,,,,
Habibi Funk,Liked song,,,,2
Hagar the Womb,punk / new wave,FALSE,TRUE,,
Handsome Boy Modeling School,räps,FALSE,TRUE,,
Harold Budd,Album added to library,FALSE,TRUE,,2
Headache,Liked song,,,,1
Here We Go Magic,Liked song,,,,2
Hieroglyphics,räps,,,,
Hierophants,post punkish,,,,2
High Brian,Album added to library,,,,2
High On Fire,metall,,,,
Hiroshi Suzuki,Album added to library,,,,2
Hive,Album added to library; electro,,,DJ,2
Holy Wave,Album added to library,,,,1
HOMESHAKE,Liked song,,,,1
Honey Bane,punk / new wave,,,,
Honey Ltd.,Liked song,FALSE,TRUE,,2
Hoodie & James K,tasasem teknohõng,,,DJ,
Hooverphonic,,,,,
Hot Flash Heat Wave,,,,,
House Of Pain,räps,FALSE,TRUE,,
How to destroy angels,,,,,
Howard Devoto,punk / new wave,,,,
HU?,bestEST,,,,est
Hungry Ghosts,Album added to library,,,,2
Hype Williams,tasasem teknohõng,,,DJ,1
Hypnosis Negative,Album added to library,,,,est
I Wear* Experiment,,,,,
Iceage,Liked song,,,,2
IDLES,post punkish,,,,1
Iggy Pop,,,,,
Igorrr,Album added to library,,,,2
Igorrr & Bong-Ra,metall,,TRUE,,
IN$OMNIA,post punkish,,,,2
Incubus,,,,,
Induction music,post punkish; tasasem teknohõng,,,,2
infinite bisous,Album added to library,,,,2
Inga Copeland,tasasem teknohõng,,,DJ,
Injury Reserve,räps,FALSE,TRUE,,
InOrderOfMoreDepth,tasasem teknohõng,,TRUE,DJ,
Italia 90,post punkish,,,,2
itoh138,räps,,TRUE,,
Jaakko Eino Kalevi,Album added to library,,,,2
Jaga Jazzist,tasasem teknohõng,,,DJ,
Jaga Jazzist Horns,,,,,
Jagwar Ma,,,,,
Jaimeo Brown Transcendence,,,,,
Jakob Juhkam,Album added to library; bestEST,,,,est
James Chance,Album added to library,FALSE,TRUE,,2
James White & The Blacks,Liked song,,,,2
James Wolfgang Rassakas,Album added to library,,,,2
Jamie Isaac & Rejjie Snow,nikumuss,,,,
Jamiroquai,,,,,
Jane Birkin,,FALSE,TRUE,,
Jane's Addiction,,,,,
Janis Joplin,,FALSE,TRUE,,
Janko Nilovic,,,,,
Jay Prince feat. SiR & Joyce Wrice,,,TRUE,,
Jazzanova,,,,,
Jello Biafra,Album added to library,,,,2
Jello Biafra & Melvins,metall,,,,2
Jerry Paper,,,,,
Jethro Tull,Album added to library,,,,2
Jim James,Album added to library,,,,2
Jim Morrison,,FALSE,TRUE,,
Jim Morrison & The Doors,Album added to library,,TRUE,,2
Jimi Hendrix,,FALSE,TRUE,,
Jockstrap,Album added to library; electro,,,DJ,2
John Adams,,,,,2
John Cooper Clarke,post punkish,,,,2
John Maus,Liked song,,,,2
Johnny Sais Quoi,Liked song,,,,2
Jonny Greenwood,Liked song,,,,2
Jonwayne,räps; electro,,,,2
Joy Division,post punkish; punk / new wave,FALSE,TRUE,,2
Juana Molina,Album added to library,,,,2
Juleah,,,,,
julie,post punkish,,,,2
Julio Iglesias,Liked song,,,,2
Justice,electro,,,DJ,
Kae Tempest,Album added to library,,,,2
Kaitlyn Aurelia Smith,tasasem teknohõng,,,DJ,
Kalli Talonpoika,post punkish,,,,est
Kamchatka,,,,,2
Karen O,Liked collaborator,,,,
Karmakanic,Album added to library,,,,2
Kate NV,Liked song,,,,2
Kenny Segal,,,,,
Kerala Dust,Album added to library,,,,2
Kevin Morby,,,,,
Khruangbin,nikumuss,,,,
Khun Narin,Album added to library,,,,2
Kid Loco,,,,,
Kikagaku Moyo,,,,,
King Britt & Gray,post punkish,,,,2
King Gizzard & The Lizard Wizard,Album added to library,,,,2
King Kooba,,,,,
King Krule,Album added to library,,,,1
Kitty Florentine,bestEST,,,,est
Kleenex/LiLiPUT,,,,,
Klute,electro,,TRUE,DJ,
knekelhuis,tasasem teknohõng,,,DJ,
Kold Front,punk / new wave,,,,
Kool & The Gang,nikumuss,,,,
Kraftwerk,Liked song,,,,2
Kreatiivmootor,Album added to library,,,,est
Kronos Quartet,Album added to library,,,,2
Kruder & Dorfmeister,,,,,
Kuradi Saar,bestEST,,,,est
Kurious,räps,,,,
Kurt Vile,Album added to library,,,,2
KÕNTS,Album added to library; bestEST,,,,est
Kõrsikud,bestEST,,,,est
Lamb,,,,,
Lamb of God,prügi,,,,
Lana Del Rey,Album added to library,,,,2
laurel 2,tasasem teknohõng,,,DJ,est
Laurel Halo,tasasem teknohõng,,,DJ,
Laurie Anderson,,,,,2
LCD Soundsystem,post punkish,,,,2
Lebanon Hanover,punk / new wave,,,,
Leegitsev Sidrun,,,,,est
Leftfield,,,,DJ,
Leggo Beast,,,,,
Lemon Jelly,,FALSE,TRUE,,
Liars,post punkish,,,,2
Lil Yachty,Liked song,,,,2
Limp Bizkit,räps,,,,
Lingua Ignota,Liked song,,,,2
Lip Critic,Album added to library,,,,2
Living Colour,Liked song,,,,2
